G,L,Time (s),Primes
4096,1,3.356074094772339,12876331
4096,2,2.7052111625671387,12876331
4096,4,2.9100441932678223,12876331
4096,8,1.9838647842407227,12876331
4096,16,2.215759038925171,12876331
4096,32,2.564401149749756,12876331
4096,64,2.5373198986053467,12876331
4096,128,2.583852767944336,12876331
8192,1,2.613914728164673,12876331
8192,2,2.9118432998657227,12876331
8192,4,2.180746555328369,12876331
8192,8,1.3665764331817627,12876331
8192,16,0.6913712024688721,12876331
8192,32,0.8500080108642578,12876331
8192,64,0.8762166500091553,12876331
8192,128,0.8617408275604248,12876331
16384,1,3.5814645290374756,12876331
16384,2,2.6454923152923584,12876331
16384,4,2.316951274871826,12876331
16384,8,1.564579963684082,12876331
16384,16,0.9238126277923584,12876331
16384,32,0.7122347354888916,12876331
16384,64,0.7147603034973145,12876331
16384,128,0.7136421203613281,12876331
32768,1,1.9236958026885986,12876331
32768,2,1.6100666522979736,12876331
32768,4,1.3901622295379639,12876331
32768,8,1.140345811843872,12876331
32768,16,0.9054379463195801,12876331
32768,32,0.696864128112793,12876331
32768,64,0.6730165481567383,12876331
32768,128,0.6721160411834717,12876331
65536,1,1.809377670288086,12876331
65536,2,1.5697882175445557,12876331
65536,4,1.3077600002288818,12876331
65536,8,0.9943349361419678,12876331
65536,16,0.7702529430389404,12876331
65536,32,0.6553399562835693,12876331
65536,64,0.6595323085784912,12876331
65536,128,0.654454231262207,12876331
131072,1,1.7869398593902588,12876331
131072,2,1.546562910079956,12876331
131072,4,1.254424810409546,12876331
131072,8,0.9354434013366699,12876331
131072,16,0.6971919536590576,12876331
131072,32,0.6535027027130127,12876331
131072,64,0.6409351825714111,12876331
131072,128,0.6322951316833496,12876331
262144,1,1.8036303520202637,12876331
262144,2,1.5320017337799072,12876331
262144,4,1.2382402420043945,12876331
262144,8,0.9036431312561035,12876331
262144,16,0.6431562900543213,12876331
262144,32,0.5420401096343994,12876331
262144,64,0.5421164035797119,12876331
262144,128,0.5391473770141602,12876331
524288,1,1.7577080726623535,12876331
524288,2,1.540436029434204,12876331
524288,4,1.2443828582763672,12876331
524288,8,0.891190767288208,12876331
524288,16,0.6245326995849609,12876331
524288,32,0.5193240642547607,12876331
524288,64,0.5202345848083496,12876331
524288,128,0.5192124843597412,12876331
1048576,1,1.7467710971832275,12876331
1048576,2,1.516228437423706,12876331
1048576,4,1.2229969501495361,12876331
1048576,8,0.8898086547851562,12876331
1048576,16,0.6144201755523682,12876331
1048576,32,0.515791654586792,12876331
1048576,64,0.5092616081237793,12876331
1048576,128,0.5100054740905762,12876331
